lon;lat;OBJECTID;created_date;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;villeca;nom;feuillage;remarquable
3.2808430958128194;49.84935903905166;12;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Richelieu;0.0;0.0;0.0;SUPPRIMÉ;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.2790032825348665;49.84540143000378;13;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;Essouché;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.27270631337615;49.84732816239172;14;2017-02-02 15:27:50+00:00;Quartier Saint-Martin - Oëstres;Rue Alexandre Dumas;0.0;0.0;0.0;ABATTU;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.278990088077834;49.84534777519863;15;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;Essouché;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.2789669659060197;49.845241836068865;16;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;Essouché;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.278953393148708;49.84518691898286;17;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;Essouché;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.2793626489593266;49.84615928676719;18;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;ABATTU;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.2793733096482227;49.84620833089764;19;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Henri Martin;0.0;0.0;0.0;ABATTU;jeune;;;Alignement;;RAS;0.0;;0.0;;VILLE;RAS;;Non
3.2756863100173965;49.847647327933416;20;2017-02-02 15:27:50+00:00;Quartier Saint-Jean;Rue Demoustier;0.0;0.0;0.0;Non essouché;jeune;;fosse arbre;Alignement;Non;RAS;15.0;10.0;0.0;;VILLE;RAS;;Non
3.273379794709001;49.861408713361236;21;2017-02-02 15:27:50+00:00;Quartier du Vermandois;Stade Cepy;13.0;1.0;1.6;EN PLACE;adulte;semi libre;gazon;Groupe;Non;RAS;50.0;10.0;0.0;;VILLE;PINNIGnig;Conifère;Non
3.289067824663547;49.84451310660708;22;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Rue Villebois Mareuil;12.0;3.0;1.16;REMPLACÉ;adulte;semi libre;gazon;Alignement;Non;RAS;30.0;10.0;0.0;2016/12/31 23:00:00+00;VILLE;ACEPSE;Feuillu;Non
3.282405599418067;49.85038152346944;23;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Richelieu;0.0;0.0;0.0;SUPPRIMÉ;jeune;;;Alignement;;RAS;0.0;;0.0;2015/07/01 00:00:00+00;VILLE;RAS;;Non
3.282342107652468;49.850348208021565;24;2017-02-02 15:27:50+00:00;Quartier du Centre-Ville;Boulevard Richelieu;0.0;0.0;0.0;SUPPRIMÉ;jeune;;;Alignement;;RAS;0.0;;0.0;2015/07/01 00:00:00+00;VILLE;RAS;;Non
3.30238687765097;49.86177771714989;25;2017-02-02 15:27:50+00:00;Quartier de l'Europe;Square des Marronniers;16.0;3.0;1.5;EN PLACE;adulte;semi libre;gazon;Groupe;Non;RAS;50.0;2.0;0.0;;VILLE;ACEPLA;Feuillu;Non
3.3040472408930164;49.85844620245707;26;2017-02-02 15:27:50+00:00;Quartier de l'Europe;Avenue Buffon;5.0;2.0;1.7;Essouché;adulte;réduit;gazon;Isolé;Non;RAS;40.0;2.0;0.0;2018/04/30 22:00:00+00;VILLE;SALBAB;Feuillu;Non
3.3055374576904195;49.86092815875158;27;2017-02-02 15:27:50+00:00;Quartier de l'Europe;Rue Laplace;8.0;3.0;1.03;EN PLACE;adulte;réduit relâché;fosse arbre;Alignement;Oui;RAS;30.0;10.0;0.0;;VILLE;ACEPLA;Feuillu;Non
3.2712644773158095;49.83789717103086;28;2017-02-02 15:27:50+00:00;Quartier Saint-Martin - Oëstres;Rue de Paris;6.0;3.0;1.0;EN PLACE;adulte;réduit;gazon;Alignement;Non;RAS;50.0;10.0;1.0;;VILLE;TILCOR;Feuillu;Non
3.270900701840934;49.83774717000679;29;2017-02-02 15:27:50+00:00;Quartier Saint-Martin - Oëstres;Rue de Paris;8.0;2.0;0.85;EN PLACE;adulte;réduit relâché;Revetement non permeable;Alignement;;RAS;50.0;10.0;1.0;;VILLE;TILCOR;Feuillu;Non
3.270732227576538;49.83767261688073;30;2017-02-02 15:27:50+00:00;Quartier Saint-Martin - Oëstres;Rue de Paris;8.0;4.0;1.05;EN PLACE;adulte;réduit relâché;Revetement non permeable;Alignement;;RAS;50.0;10.0;2.0;;VILLE;TILCOR;Feuillu;Non
3.270542022798621;49.83759002208269;31;2017-02-02 15:27:50+00:00;Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;4.0;1.35;EN PLACE;adulte;réduit relâché;gazon;Alignement;Non;RAS;50.0;10.0;2.0;;VILLE;TILCOR;Feuillu;Non
